  data : 1 7 14 19 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 7 14 22 24 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 7 14 23 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 7 14 24 27 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 7 14 24 30 31 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 7 17 19 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 17 22 24 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 17 23 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 17 24 30 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 18 19 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 18 22 24 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 18 23 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 18 24 30 32 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 19 22 24 32 , kpi : 6, rept: 1 2 3 4, cover: 22 30 32 33
  data : 1 7 19 23 24 32 , kpi : 6, rept: 1 2 4 4, cover: 22 30 32 33
  data : 1 7 19 24 27 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 19 24 28 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 19 24 29 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 19 24 30 32 , kpi : 6, rept: 1 2 3 4, cover: 22 30 32 33
  data : 1 7 19 24 31 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 7 22 24 28 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 22 24 29 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 7 22 24 30 32 , kpi : 5, rept: 1 2 2 4, cover: 22 30 32 33
  data : 1 8 9 24 27 30 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 8 9 24 28 30 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 8 18 20 24 30 , kpi : 5, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 8 18 21 24 30 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 8 19 21 24 28 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 8 19 21 24 29 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 8 19 21 24 31 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 8 20 22 24 28 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 8 20 22 24 30 , kpi : 6, rept: 1 2 2 5, cover: 22 30 32 33
  data : 1 8 20 24 28 30 , kpi : 5, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 8 20 24 30 31 , kpi : 6, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 8 21 22 24 28 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 8 21 22 24 31 , kpi : 6, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 8 21 23 24 28 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 8 21 23 24 31 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
